Season,Circuit,Driver,Stint,Compound,NLaps,LooRmseLinear,LooRmseQuadratic,QuadraticWins
2022,Hungary,LEC,1.0,MEDIUM,16,0.26161409930652907,0.2829698969770942,False
2022,Hungary,LEC,2.0,MEDIUM,14,0.5024772223153658,0.5422145117014908,False
2022,Hungary,LEC,3.0,HARD,11,0.5778990972803638,0.6548323635639585,False
2022,Hungary,LEC,4.0,SOFT,11,0.39095192367528275,0.43917820199592705,False
2022,Hungary,MAG,2.0,HARD,22,0.37204839448109767,0.31436313402789534,True
2022,Hungary,MAG,3.0,MEDIUM,24,0.8180084263022733,0.8313663537847006,False
2022,Hungary,MSC,1.0,MEDIUM,17,0.3388849611964302,0.3224820676749958,True
2022,Hungary,MSC,2.0,HARD,14,0.2615854870067277,0.27754203607653527,False
2022,Hungary,MSC,3.0,MEDIUM,16,0.2907875728384135,0.2660764095851601,True
2022,Hungary,NOR,2.0,MEDIUM,23,0.5337352822312422,0.5487620257175034,False
2022,Hungary,NOR,3.0,HARD,21,0.337659660361748,0.35448987406397314,False
2022,Hungary,OCO,1.0,MEDIUM,19,0.5362106261506121,0.569149825863616,False
2022,Hungary,OCO,2.0,HARD,37,0.36870956224446566,0.36939575976780475,False
2022,Hungary,PER,1.0,SOFT,14,0.4649067567412601,0.4009944343982386,True
2022,Hungary,PER,2.0,MEDIUM,18,0.33097792400190307,0.3232232312800795,True
2022,Hungary,PER,3.0,MEDIUM,21,0.28600941637528876,0.32223321132973476,False
2022,Hungary,RIC,1.0,SOFT,10,0.2606582541915612,0.3136568092439025,False
2022,Hungary,RIC,2.0,MEDIUM,26,0.2557790349593821,0.2310667279657945,True
2022,Hungary,RIC,3.0,HARD,17,1.0291989054420283,1.0960157789402405,False
2022,Hungary,RUS,1.0,SOFT,12,0.2431284106899166,0.2506607726686499,False
2022,Hungary,RUS,2.0,MEDIUM,18,0.27566599704184996,0.26344411733791434,True
2022,Hungary,RUS,3.0,MEDIUM,24,0.498154925289153,0.48835271197304214,True
2022,Hungary,SAI,1.0,MEDIUM,13,0.3320058434954861,0.40609372051332154,False
2022,Hungary,SAI,2.0,MEDIUM,25,0.28911095814115556,0.29956054095802853,False
2022,Hungary,SAI,3.0,SOFT,18,0.38412694178595497,0.39580249653158256,False
2022,Hungary,STR,1.0,SOFT,10,0.26591090326921246,0.30019435193049404,False
2022,Hungary,STR,2.0,MEDIUM,28,0.46364265005111005,0.46839254179561046,False
